Driver Substance Abuse,Person ID,Injury Severity
NONE DETECTED,71E4E573-2B74-4C42-82CD-EE42DEDBF80B,POSSIBLE INJURY
N/A,BC63D039-2D5C-4A85-B1BA-1FF06373AD42,NO APPARENT INJURY
N/A,F5863A50-57CE-4287-95E5-E3F8A9E7397D,NO APPARENT INJURY
N/A,49656965-03E8-473A-AE7C-675F09D364D1,NO APPARENT INJURY
N/A,C6FC4CCA-8A78-4679-B7D8-619194E8337B,POSSIBLE INJURY
N/A,975A1982-E685-45C1-A9CB-0166DC56E591,NO APPARENT INJURY
UNKNOWN,D2852ED9-77E4-4ED3-B89C-387FC4C2BF71,NO APPARENT INJURY
N/A,16C9ED12-AE50-4928-BF0D-82B23B3C7E8A,POSSIBLE INJURY
NONE DETECTED,7F8CD440-029F-4ECE-8450-9763EF5DD13A,POSSIBLE INJURY
UNKNOWN,364BCD4C-DD42-42B5-8BE6-68F9E1DFA03D,NO APPARENT INJURY
NONE DETECTED,F3CC473A-91C2-48E2-890F-EBBC938A43E3,POSSIBLE INJURY
NONE DETECTED,C2D43980-661D-49BC-92F0-F54B52D36D7F,NO APPARENT INJURY
NONE DETECTED,CB61B079-02AF-4F3E-AC52-731EB02B4F09,NO APPARENT INJURY
NONE DETECTED,1096CE4E-E5F5-41B7-BA00-D9DF4E7B25F5,NO APPARENT INJURY
NONE DETECTED,9AF18690-50A9-493E-85AC-F53AC23DBEFD,NO APPARENT INJURY
NONE DETECTED,7AAA88BB-B415-4CFF-9739-FB2A22735337,SUSPECTED MINOR INJURY
NONE DETECTED,5227DE3E-1574-449A-9895-B970C6636BFE,NO APPARENT INJURY
NONE DETECTED,63D51E4F-57EB-4878-AC1B-5031DCC49A42,POSSIBLE INJURY
NONE DETECTED,25DC46CB-A89E-46AF-B23A-C92BFB9DCF8F,NO APPARENT INJURY
NONE DETECTED,BE1A93F0-8534-48C3-9123-C8692D950D6A,POSSIBLE INJURY
NONE DETECTED,38BF6E5C-5211-4655-8967-6A1DE522B0B1,POSSIBLE INJURY
UNKNOWN,243FB904-5341-4308-9815-EC280E283793,NO APPARENT INJURY
NONE DETECTED,1F66643E-2F0F-4EEF-ABD1-53166A884D54,NO APPARENT INJURY
NONE DETECTED,E1441ABD-6155-425B-877E-01EE3F9036F2,NO APPARENT INJURY
NONE DETECTED,379E387D-FEA1-46F9-A1AA-09B136AF7716,POSSIBLE INJURY
NONE DETECTED,331A566E-F4AF-49DA-BE0E-D1CC82E9E1FB,POSSIBLE INJURY
NONE DETECTED,1D053D7E-4E10-4408-8BE8-F97749DD1C81,NO APPARENT INJURY
NONE DETECTED,945771B4-EEC4-486F-8E07-B9D353FD9A0D,NO APPARENT INJURY
NONE DETECTED,98ED6046-A562-4C33-99EB-85D81428FBA3,NO APPARENT INJURY
NONE DETECTED,612A96C1-DB3D-4DCD-B835-6055DA7343D1,NO APPARENT INJURY
NONE DETECTED,5D62454B-33AD-4A2B-8188-F6A8265E139E,NO APPARENT INJURY
NONE DETECTED,22968E9D-E048-47BC-9E3F-F237B15A4D90,NO APPARENT INJURY
NONE DETECTED,4F08ECC1-80F4-451F-A381-B45B62BF8CCA,NO APPARENT INJURY
NONE DETECTED,EBB876F5-941F-4B59-95D1-C8ECA8B247A6,NO APPARENT INJURY
NONE DETECTED,DE015A88-9AA8-4EB7-BB30-A0FC44D6923C,POSSIBLE INJURY
NONE DETECTED,11D2DACD-AD67-4843-8D57-BC06FE6357A4,NO APPARENT INJURY
NONE DETECTED,D1EEAFA9-B828-4CF5-9177-8142E3251D11,NO APPARENT INJURY
NONE DETECTED,0EB6137B-02E6-4AAD-A46C-F1D20339B14E,NO APPARENT INJURY
NONE DETECTED,64EC19F3-3385-4871-AC9E-E9CD3BC26CF5,NO APPARENT INJURY
N/A,E435AC03-A242-437B-A291-376174B80A4A,NO APPARENT INJURY
NONE DETECTED,CB92BA4D-A556-4486-AD43-4632B98D0B9D,SUSPECTED MINOR INJURY
NONE DETECTED,EB0E2EB9-50FF-4B22-BFCF-22E307DF5D34,SUSPECTED MINOR INJURY
NONE DETECTED,04F5B8FA-B564-404B-A7DE-7943B24953D2,NO APPARENT INJURY
N/A,8C16A0A7-1E05-46A4-B429-52591C868443,NO APPARENT INJURY
N/A,578CCE01-4719-4FA3-9412-5BEAA0465EA3,NO APPARENT INJURY
UNKNOWN,FBFF220C-F0F7-46AB-B4BB-D61FAB6CAFF1,NO APPARENT INJURY
NONE DETECTED,563D87FD-0514-4663-9744-E06296C7BF2B,NO APPARENT INJURY
NONE DETECTED,ECA907F4-9B96-4BBA-BD4D-6B1F1A18F1CE,NO APPARENT INJURY
N/A,4D9B86C1-658B-4EA7-BAB4-5E4E1D50BE77,NO APPARENT INJURY
NONE DETECTED,6F8A0287-7536-4E97-AFB2-8C3D670BB851,NO APPARENT INJURY
NONE DETECTED,EC5B9EB1-E68B-4888-B5F4-7E1C3D4CBF87,NO APPARENT INJURY
NONE DETECTED,5C238C40-57E5-41D3-A25D-D94C27B52653,NO APPARENT INJURY
NONE DETECTED,4DB68E3C-8D83-48F2-A5F4-4B3925253485,NO APPARENT INJURY
ALCOHOL PRESENT,E12D3E83-6D4E-41B9-AE42-5707C01B04D3,NO APPARENT INJURY
NONE DETECTED,2ED51429-1269-4302-A12C-C86664D74F9E,NO APPARENT INJURY
NONE DETECTED,8C06EF89-AC23-4F4E-A3D8-5A939E06AF34,NO APPARENT INJURY
NONE DETECTED,86B2B84E-6797-48C2-B93E-44306EF98775,NO APPARENT INJURY
NONE DETECTED,8258FBAC-376D-45E7-9B63-5ED465F59B87,NO APPARENT INJURY
NONE DETECTED,24AA1F9F-8D45-449D-A287-053F4FFF127E,POSSIBLE INJURY
N/A,6BD34FA6-A31C-481C-B55E-D110EDD51038,NO APPARENT INJURY
NONE DETECTED,8D7B84B1-4F2B-4DE3-A26E-34541289B5D5,SUSPECTED MINOR INJURY
NONE DETECTED,27B597C4-A127-4786-8DC6-CEBB117259DD,POSSIBLE INJURY
NONE DETECTED,63D35A62-E7A6-47A8-8401-FD936D5CF678,NO APPARENT INJURY
UNKNOWN,7596253A-35A6-4798-A97F-A231C65BCDEE,NO APPARENT INJURY
NONE DETECTED,2D7ADFB2-2CFA-48A7-8818-A5B81823DA01,NO APPARENT INJURY
NONE DETECTED,F8459B4C-B1FA-40C8-BB04-D96A6D74B3B1,NO APPARENT INJURY
NONE DETECTED,8246D102-89C1-47C8-9709-FD50DC37E2BA,NO APPARENT INJURY
NONE DETECTED,FE2B75D4-2DB3-4C9C-85DA-49F15EB846C5,NO APPARENT INJURY
UNKNOWN,F2DE9E64-9EC3-424B-9192-54A01D104DA4,NO APPARENT INJURY
NONE DETECTED,3AF95DCD-791E-43CA-B0B8-5F3159804D11,NO APPARENT INJURY
NONE DETECTED,49C03E24-A3B7-4A4B-A39D-79B42D03FCF4,NO APPARENT INJURY
NONE DETECTED,03E9E432-1EE5-4777-9FB3-6247BBCB6BED,NO APPARENT INJURY
NONE DETECTED,991DDF86-1FA8-4FE5-AF42-0ECF55EB2987,NO APPARENT INJURY
N/A,EC36CAA3-42B3-4DEF-9639-3BBCEE94801D,NO APPARENT INJURY
N/A,E6633755-A86C-457F-AC1D-AD5A92DE89C2,NO APPARENT INJURY
NONE DETECTED,DA47B4D5-82BF-4C16-AFDC-1B380DF23A60,NO APPARENT INJURY
NONE DETECTED,2902F6A8-AF6A-45E9-A12A-2A16259B7D55,NO APPARENT INJURY
NONE DETECTED,11FECD4D-2392-44D2-87E4-626240C1C7C5,NO APPARENT INJURY
NONE DETECTED,330F6A38-4BB8-404A-A183-AE61F262DBF0,NO APPARENT INJURY
N/A,DA0FA53B-7550-41A7-A6DE-88393C22CF1F,NO APPARENT INJURY
N/A,0849F22D-C04F-4D94-BCEC-E857E5A1E5F8,NO APPARENT INJURY
N/A,4F007D92-3F0A-48E8-837D-43D85053CE3A,POSSIBLE INJURY
N/A,A2B29898-E7F0-4B79-A553-9BA708E34DBE,NO APPARENT INJURY
NONE DETECTED,C90A1F5E-A365-49D5-983F-C133C74730A6,NO APPARENT INJURY
N/A,E1DAA106-8431-4DBF-8884-30C6E64918AE,NO APPARENT INJURY
NONE DETECTED,D9B96A4E-5CE5-4668-A68C-FDB8602DFB3B,NO APPARENT INJURY
N/A,4E28FDB0-C6A2-4305-A363-9EF9E036CAB3,NO APPARENT INJURY
N/A,0B34C307-0474-442A-835B-FF9F39FC29A8,NO APPARENT INJURY
N/A,8AEA92FF-32BE-45A6-8730-9D83EC929AA4,NO APPARENT INJURY
N/A,046E0C70-6035-4B6C-9CE4-C77D7211E142,NO APPARENT INJURY
N/A,9C3EDC5D-7BEE-429D-A93F-9D74BBC0B336,NO APPARENT INJURY
NONE DETECTED,DB413CAD-1132-4A31-9B4A-6503B0D57691,SUSPECTED MINOR INJURY
N/A,E5DEB81E-281F-43BC-BB68-009F742FBED0,NO APPARENT INJURY
N/A,D3A92C1D-E70F-4465-BCD2-3382AA21029A,NO APPARENT INJURY
NONE DETECTED,C2B8989C-4214-4B82-A376-BE6DFB899073,NO APPARENT INJURY
ALCOHOL PRESENT,36E5BC34-7366-4AE7-90F7-0D42614307BD,NO APPARENT INJURY
NONE DETECTED,D24E9971-11A9-42A8-992B-CF0B3D697B83,NO APPARENT INJURY
NONE DETECTED,98842E74-EF4D-4B4D-835F-57D0C6CC628D,NO APPARENT INJURY
NONE DETECTED,8017C343-8809-428D-8F64-D3E96C24CAC7,NO APPARENT INJURY
NONE DETECTED,4AA1EC20-52BA-4702-9850-1A0D28973B27,NO APPARENT INJURY
N/A,4FF498A7-B207-4928-A132-ECF03E5C3074,NO APPARENT INJURY
N/A,1B14927A-8410-4F14-863F-6F53B90148DE,POSSIBLE INJURY
NONE DETECTED,0B7962A0-454B-4B3C-90EA-68B3BC37F27F,NO APPARENT INJURY
NONE DETECTED,A40E2FEE-BB4D-4438-A4B1-7FD8CDAE670B,NO APPARENT INJURY
N/A,30CCCF18-3258-47F1-B5C7-77F61831B56E,NO APPARENT INJURY
ALCOHOL PRESENT,4195C78C-ED03-422C-A0CE-0C94D16C7AB4,NO APPARENT INJURY
NONE DETECTED,05040B6F-BAA5-422E-9A19-2D7910DCB123,NO APPARENT INJURY
NONE DETECTED,79FCF316-6696-4142-9AAD-F28F3595A12E,NO APPARENT INJURY
N/A,62566E7A-A326-4786-95EC-96411BB6E355,NO APPARENT INJURY
NONE DETECTED,9B533FE1-C3F6-4061-9027-8B6A67678321,NO APPARENT INJURY
NONE DETECTED,CE1F60B6-27B5-44E3-80B2-E0CF11398D42,SUSPECTED MINOR INJURY
NONE DETECTED,756B083B-7124-4C88-B0D9-C720D353B0E0,NO APPARENT INJURY
UNKNOWN,6A672DBF-7F38-4F92-AF92-CB48603CF15F,NO APPARENT INJURY
NONE DETECTED,9E8D04A3-73D2-4B35-9122-C7049F85885A,POSSIBLE INJURY
NONE DETECTED,4B77EE6E-364F-4A4C-9522-A55C9626AF43,NO APPARENT INJURY
NONE DETECTED,010FBB2C-BB9F-4C72-9F9D-8120FA21FCE8,NO APPARENT INJURY
UNKNOWN,DB314E7D-5660-4B24-A631-994C227C3477,NO APPARENT INJURY
NONE DETECTED,4ED81EC0-895F-49EC-A3CF-7E7D7C3905D6,NO APPARENT INJURY
NONE DETECTED,3337CEF8-400E-4B4C-9403-57FD33CEB7AF,NO APPARENT INJURY
NONE DETECTED,A682794A-EEEF-4C8B-BB07-7708F1E1BBD3,NO APPARENT INJURY
NONE DETECTED,C56E872C-204D-4341-9F6E-7BEA4A832B57,POSSIBLE INJURY
NONE DETECTED,AF1E2EFC-E28B-456D-90CC-CF1C80FEE1D4,NO APPARENT INJURY
NONE DETECTED,51DF834A-9DD2-40C9-BA73-9F4AE2C2299C,NO APPARENT INJURY
UNKNOWN,7369740E-405A-4B0E-8527-5740FC0B2DCF,NO APPARENT INJURY
NONE DETECTED,89606B20-83D7-414F-9374-A7AC6F0045F7,NO APPARENT INJURY
NONE DETECTED,F92FE289-AECC-42C2-9C36-7DC78F1A836C,NO APPARENT INJURY
NONE DETECTED,C97377FE-4511-4C4A-8563-98BA6251F114,NO APPARENT INJURY
NONE DETECTED,B25FCA87-6C23-4E9D-A402-8B4F094D1F0B,NO APPARENT INJURY
UNKNOWN,90AA4C3E-6AEA-4FAE-A3F6-168CAA864C04,NO APPARENT INJURY
UNKNOWN,B9F48CF4-FEFC-4F8E-8E99-54DF023218BA,NO APPARENT INJURY
NONE DETECTED,166BD1CA-4ADC-4975-A5C2-29E090B7D94B,NO APPARENT INJURY
NONE DETECTED,38B5F3B0-D31B-4030-A597-6167581C9D7B,NO APPARENT INJURY
NONE DETECTED,E56C5000-C1A6-4EB2-8481-BC0CB2490A80,POSSIBLE INJURY
NONE DETECTED,EC484762-DD38-4D7B-A4F3-8DDEC86E6AF0,NO APPARENT INJURY
NONE DETECTED,BB26E2CE-EEE5-47A8-8E1C-5D9C14F4C65C,NO APPARENT INJURY
N/A,48FBA1CC-0C4E-42A0-9CB0-7CCDE4F7832A,FATAL INJURY
NONE DETECTED,E6CD0C02-F2A5-49EC-926E-688E78C8EB95,NO APPARENT INJURY
NONE DETECTED,B58A04BD-A646-4BFF-9921-86344EE30F8C,NO APPARENT INJURY
N/A,80439705-AE58-4FCD-8CF0-10194B37B89B,NO APPARENT INJURY
N/A,77E2AB57-494A-448F-A5A3-7F8E3070E387,NO APPARENT INJURY
N/A,B919D6E1-BDD9-4C8B-B041-C172F85684EB,NO APPARENT INJURY
NONE DETECTED,6AAF80CD-79B2-4AE5-808A-B31A6A3D5016,NO APPARENT INJURY
NONE DETECTED,0F259490-0306-4132-B3D1-6EDAC2EF0499,NO APPARENT INJURY
NONE DETECTED,FE2AC1D6-B690-4F0E-90CE-0E57110ECB01,NO APPARENT INJURY
N/A,200AC078-F7AA-40CC-9CB4-9A436C22F43F,NO APPARENT INJURY
N/A,84CFC310-B194-4797-AE11-5C559B1C62E1,NO APPARENT INJURY
NONE DETECTED,D93A6E96-2DC9-4F35-BB0F-45425D7CC942,NO APPARENT INJURY
NONE DETECTED,4341409E-2089-497D-B25F-6BBC0187D64E,NO APPARENT INJURY
UNKNOWN,BF8503A7-C82A-49FD-976C-D526DC3C4255,NO APPARENT INJURY
NONE DETECTED,9AB7E120-8169-476C-A092-3951FC6ECF48,NO APPARENT INJURY
NONE DETECTED,30A0BF7E-1FAA-472E-968D-35FDB1C85127,POSSIBLE INJURY
NONE DETECTED,1CDEC89B-DAC5-4DED-A658-E0AB9159D2F1,NO APPARENT INJURY
NONE DETECTED,DC708DDF-E83A-48C9-A5D8-D01E2BC7F08D,NO APPARENT INJURY
NONE DETECTED,EA329307-29FA-4022-AD4C-58439C340C6D,NO APPARENT INJURY
NONE DETECTED,4C279F3E-E619-4DA6-872D-0A3411B1F884,NO APPARENT INJURY
NONE DETECTED,3B9A2B5D-EB2E-463F-83BE-8E762909C0A6,NO APPARENT INJURY
NONE DETECTED,973A991D-1D6E-4925-9F67-C6CC09F2B0F4,NO APPARENT INJURY
UNKNOWN,6FE94034-B79E-4960-990F-DE4E15E1E080,NO APPARENT INJURY
NONE DETECTED,5B03221E-8C8C-461F-AEAA-3C0FFA698646,NO APPARENT INJURY
UNKNOWN,C578D75E-F9A2-4BCC-B611-546519048FDD,NO APPARENT INJURY
NONE DETECTED,35D27E2D-B153-45E2-B4BD-2286478BC7BB,NO APPARENT INJURY
N/A,7137AB27-672F-40C3-A5A7-276C33597837,NO APPARENT INJURY
UNKNOWN,C62B0A35-5214-4158-A16C-47B0176EAF99,NO APPARENT INJURY
N/A,C60382C7-AD01-4CB8-98E4-EABDF1A851AF,NO APPARENT INJURY
N/A,11E6FAAA-0D50-42DF-9ED3-F08AC0B81949,NO APPARENT INJURY
NONE DETECTED,BF19CC0B-57D6-444C-8014-065AA7DE5506,NO APPARENT INJURY
N/A,69B465AA-D360-4804-BDC6-37E650C7BB46,NO APPARENT INJURY
NONE DETECTED,14B57CEA-A372-4B38-8998-B91763EBA4F4,NO APPARENT INJURY
UNKNOWN,DECA34BA-4071-4662-9B2E-656A0B0559FE,NO APPARENT INJURY
NONE DETECTED,22DE881E-ECEB-4D3E-9888-B1B103488894,NO APPARENT INJURY
NONE DETECTED,F147FBA4-B957-4169-91AB-CD17BD18191F,NO APPARENT INJURY
NONE DETECTED,0C15F52D-3DF4-40C9-9B53-EE63D008F0CC,NO APPARENT INJURY
NONE DETECTED,3FEDDECC-A1F7-44F7-9FE2-D3FC11353BD8,NO APPARENT INJURY
NONE DETECTED,D39C0A5B-C0ED-431F-A3E3-3D23A1B98F4C,NO APPARENT INJURY
NONE DETECTED,30DCD6C4-F41B-4A2E-94E4-90F028150FDF,NO APPARENT INJURY
NONE DETECTED,CF46E6AC-7F9F-4041-8ACA-9335E245F80A,NO APPARENT INJURY
NONE DETECTED,4B80A2A4-90A4-4A85-9965-AE135CD60A61,NO APPARENT INJURY
NONE DETECTED,3D849AF2-2175-469D-8C6A-F85042D7C6A4,NO APPARENT INJURY
NONE DETECTED,C9E62683-FFCA-4A5B-99B7-DB3AA47D297C,POSSIBLE INJURY
NONE DETECTED,C55432F6-A159-45DF-8087-0B0788F0FC10,NO APPARENT INJURY
NONE DETECTED,ADD452C4-DB88-491A-BACD-0021281B2F29,NO APPARENT INJURY
NONE DETECTED,A08286C2-5FF8-4E8E-9250-E1EFA5EEA816,NO APPARENT INJURY
NONE DETECTED,E44CA215-179E-4EF1-AD0D-73C0D7849FA2,NO APPARENT INJURY
NONE DETECTED,49E33859-FE8B-4325-928C-B9087344349F,NO APPARENT INJURY
UNKNOWN,64E9DFC0-BD79-4783-80F7-681E612AC0A8,NO APPARENT INJURY
NONE DETECTED,71D8B9AD-B934-4B03-8431-AD1CDDE1D534,NO APPARENT INJURY
NONE DETECTED,242C9F65-F8B5-4060-B5B4-CCC1A13AAD2D,NO APPARENT INJURY
NONE DETECTED,B1A57F9F-429A-4FD0-B075-556661DC7576,NO APPARENT INJURY
NONE DETECTED,CD91B711-5521-499B-92F3-2FFFC7ECBE63,POSSIBLE INJURY
NONE DETECTED,F73DB2D0-9762-49EC-8B84-8AFB5DBDE572,NO APPARENT INJURY
NONE DETECTED,0482751B-547A-4E26-BAE5-E303E2477B6B,NO APPARENT INJURY
N/A,EA0B7F8B-CC7A-4EFA-86B0-778274EBD892,NO APPARENT INJURY
ILLEGAL DRUG PRESENT,2B54011A-054B-4B72-AE7D-D4C1F015309F,NO APPARENT INJURY
COMBINED SUBSTANCE PRESENT,7698B52F-AA38-433D-A278-AA4671AFC4BE,NO APPARENT INJURY
ALCOHOL CONTRIBUTED,2AF20C26-C44D-40D9-91B6-C065E3F16D6A,NO APPARENT INJURY
N/A,A741672E-53F0-452C-A614-C247D8794112,NO APPARENT INJURY
N/A,F9BA5A6F-A62D-416D-B63E-25B7845D0F4C,NO APPARENT INJURY
N/A,34B24392-DA1E-4FC4-919B-D747922309EE,NO APPARENT INJURY
UNKNOWN,670895D1-2FE0-4C7E-8F94-F88E640DF906,NO APPARENT INJURY
NONE DETECTED,FF277C13-20F4-4326-9483-CBEEF55D6F22,NO APPARENT INJURY
NONE DETECTED,0528899F-C3B9-4E19-B185-1BE5D4EF4E0E,POSSIBLE INJURY
NONE DETECTED,846589BF-CF99-45DA-BC0E-56C466A27AC2,NO APPARENT INJURY
NONE DETECTED,4E21C390-E827-42C8-9B8E-4D45505A5F05,NO APPARENT INJURY
NONE DETECTED,3AE279B3-FEDB-4365-B5B3-B5780C2411E8,NO APPARENT INJURY
NONE DETECTED,4C5C5B00-4C95-4590-9588-7C2B8289EBB1,NO APPARENT INJURY
UNKNOWN,BFE801C7-CCAE-4B9B-A086-6BF592DBC2D2,NO APPARENT INJURY
NONE DETECTED,C933F5FE-D970-4976-AD78-B750FA4C2158,NO APPARENT INJURY
NONE DETECTED,AB03C7A5-2861-420D-B1A7-B7FA4DA43960,POSSIBLE INJURY
NONE DETECTED,0AC9CBA9-D1ED-410B-8329-5F4BBABFAC9D,NO APPARENT INJURY
NONE DETECTED,000ADE30-D0A0-44D8-9BA8-468F078E448F,NO APPARENT INJURY
NONE DETECTED,2F6E6E26-16C5-44F7-9572-43454994C30C,NO APPARENT INJURY
NONE DETECTED,6101A777-3729-4222-A56C-94252FFF42A9,SUSPECTED MINOR INJURY
NONE DETECTED,73112C35-F47E-48AE-B092-5F95ECABC7DD,NO APPARENT INJURY
NONE DETECTED,B194E901-402E-489D-AC68-386442A57D18,NO APPARENT INJURY
NONE DETECTED,C78CA90F-4188-41F1-B737-6165311C6F5D,NO APPARENT INJURY
NONE DETECTED,22E490C9-C4BF-48BD-A2ED-126CD0E028B5,NO APPARENT INJURY
NONE DETECTED,9BD12141-EC5D-47D8-B9C8-79295B3D12A5,NO APPARENT INJURY
NONE DETECTED,41916CE0-71DB-475D-B372-2AE3054E43DD,SUSPECTED MINOR INJURY
NONE DETECTED,09E9C3F4-5782-437B-8DD4-56B9E0B62ED4,NO APPARENT INJURY
NONE DETECTED,2DC07D36-84F2-4CD0-98C0-AA04B1141E05,NO APPARENT INJURY
NONE DETECTED,0738A02A-AE83-4A44-8EC4-A5C06CF33D7A,NO APPARENT INJURY
UNKNOWN,184083E1-9551-4614-9F62-8969B6E0C546,NO APPARENT INJURY
NONE DETECTED,40D71509-E55C-49AC-9D04-E18E68B4F547,NO APPARENT INJURY
NONE DETECTED,A4352076-A481-4FF4-A34B-12433F200C07,NO APPARENT INJURY
NONE DETECTED,BECA75BD-EEC6-4AB8-9A83-62DB4F5FF108,SUSPECTED MINOR INJURY
NONE DETECTED,7CEE36D8-47DF-4B90-BAD8-B3FEE64866AA,POSSIBLE INJURY
N/A,C057D7A6-FCF5-40E3-8F85-9F65FBCD543E,NO APPARENT INJURY
NONE DETECTED,D1E3D71A-E8A0-469D-BC7C-7617098B835B,NO APPARENT INJURY
NONE DETECTED,BF2EB922-3EC1-40B8-B5CA-4B4B42A3801B,NO APPARENT INJURY
NONE DETECTED,EF1EC590-14D8-4AC2-802A-A84171BAFC23,NO APPARENT INJURY
NONE DETECTED,6F2E3AE4-8941-4491-BAC2-C8A956006357,NO APPARENT INJURY
NONE DETECTED,BBF4BE61-D325-4751-AF09-C2DFB81E6832,NO APPARENT INJURY
UNKNOWN,F5530FA7-ABDE-4CFE-8A5A-CDCC4E8559A5,NO APPARENT INJURY
NONE DETECTED,3B5246DF-FFCD-4DFE-8D16-A1BF1F6ED64D,NO APPARENT INJURY
NONE DETECTED,3877EBFC-9462-4EC6-9EBB-B5212C57C936,NO APPARENT INJURY
NONE DETECTED,700D811F-C922-4508-85F1-49C2299332DA,NO APPARENT INJURY
NONE DETECTED,4C98B915-8E0C-409A-8C6F-E35F687F7073,NO APPARENT INJURY
NONE DETECTED,A222329E-029D-4F33-9E22-0537DDF6F1E5,NO APPARENT INJURY
NONE DETECTED,414203B3-8820-4C79-B7FA-3E036DE397CC,SUSPECTED MINOR INJURY
N/A,B9E4AB11-02DF-4E50-8EC4-0C119C74D87B,NO APPARENT INJURY
N/A,A58C70F5-2847-432B-A9D4-65599680B94F,NO APPARENT INJURY
NONE DETECTED,7212D281-CE2E-4F80-91FE-1EC16027E27F,NO APPARENT INJURY
NONE DETECTED,4FC79DD5-3707-40B7-A8FC-96BE6B9BE916,NO APPARENT INJURY
NONE DETECTED,C769D7C7-556A-4437-BF9B-F36A5B50152E,NO APPARENT INJURY
NONE DETECTED,1B585B42-AAFB-4FD7-B62E-4AE828F5F8CB,NO APPARENT INJURY
N/A,53B512DD-D148-4B37-98C3-78185EF746F2,NO APPARENT INJURY
N/A,35F9D355-40D0-440E-A597-EFF073942B41,SUSPECTED MINOR INJURY
NONE DETECTED,45E7A8AE-2F83-4CC0-AE96-C20E94F6E08A,POSSIBLE INJURY
NONE DETECTED,8DD02B42-3AFE-4017-A8E5-48D7017283C1,NO APPARENT INJURY
NONE DETECTED,14B29064-2288-43A7-B4E9-9E8A8A63B196,NO APPARENT INJURY
NONE DETECTED,C624A946-1BBA-4072-9F99-46F5433FDA21,NO APPARENT INJURY
NONE DETECTED,B5CAD450-156B-4B2C-8A99-3F02AE7BF1CB,NO APPARENT INJURY
NONE DETECTED,A9DE2AE2-10F6-4A61-A1E3-B5F0F53FA073,NO APPARENT INJURY
NONE DETECTED,A4C56B95-16C2-466C-828E-0B12F30F7571,NO APPARENT INJURY
NONE DETECTED,DBFFC301-8846-4145-8A15-E32DCBF6FF73,NO APPARENT INJURY
NONE DETECTED,04E2AF00-C197-41B0-8A03-2590E3FEB0B4,NO APPARENT INJURY
NONE DETECTED,786C3847-5276-444E-9EB1-B837D4EE039A,NO APPARENT INJURY
NONE DETECTED,1F9C0712-01B7-4768-A45F-8DE79A2620E3,NO APPARENT INJURY
N/A,BFDE0C3A-7132-48A4-9AF4-343FB13F44AE,NO APPARENT INJURY
UNKNOWN,E040DF1B-41FC-4FD9-B9DB-65738C46CFFA,NO APPARENT INJURY
N/A,6C540DA2-C6C2-4F03-BF9D-901FE3D4939C,NO APPARENT INJURY
N/A,2B62D83F-AEFA-4AF6-9C5C-149591D34A4C,NO APPARENT INJURY
N/A,9BB570A6-DE3D-4A8F-AFD7-D37C48AFABF1,NO APPARENT INJURY
N/A,D2F8BF78-BCB9-4D24-82C1-61ED9B9A62C1,NO APPARENT INJURY
N/A,F49DB4F6-72F4-4B18-8CFB-FA6903884BE8,NO APPARENT INJURY
NONE DETECTED,DF3319CE-0BD3-416F-8D4A-1CF51F54CC9C,NO APPARENT INJURY
NONE DETECTED,41781E37-EA7C-4B6F-8B55-1B121D7386A5,NO APPARENT INJURY
NONE DETECTED,708A6D71-C17E-4E6B-AFB2-4E54EE43393E,NO APPARENT INJURY
NONE DETECTED,0295ECA2-E23C-44CC-BCAC-FED408920D1B,NO APPARENT INJURY
NONE DETECTED,0E4F68B0-82F7-4065-B305-3E3936AE2A7B,NO APPARENT INJURY
NONE DETECTED,BEBE4AA0-8CB2-476C-B5FD-D506B9041EF5,POSSIBLE INJURY
N/A,B756A950-78FD-4FE6-B347-6B6E02810460,NO APPARENT INJURY
N/A,E9E59664-7326-4FA9-8013-8A3DF31DD812,POSSIBLE INJURY
NONE DETECTED,9C921083-11D3-43BF-ABD3-99CFBE20D40B,POSSIBLE INJURY
NONE DETECTED,E2F0B221-EB0B-476E-B808-EB866C14EC68,NO APPARENT INJURY
NONE DETECTED,35D9E889-880E-4DE2-A777-7D8C1776BA80,NO APPARENT INJURY
NONE DETECTED,37A3557E-1882-4C16-9BAC-75D159DFF306,NO APPARENT INJURY
NONE DETECTED,A416FD8F-E4B0-4B23-B154-95D540C4BF29,NO APPARENT INJURY
NONE DETECTED,E93AC4E5-BA5A-4C70-A79C-6A830F7374D1,NO APPARENT INJURY
NONE DETECTED,A60B9C52-1435-4FDE-B81E-988B08284AA1,NO APPARENT INJURY
NONE DETECTED,C86EE2F0-B0DF-47B8-961B-46D855AD395D,NO APPARENT INJURY
N/A,A13263D8-EE5D-40D0-BBDC-C16B25A95E83,NO APPARENT INJURY
NONE DETECTED,DD275631-297F-4A45-AB9D-2B821C545AC2,NO APPARENT INJURY
NONE DETECTED,E78BCBE1-0ACA-4766-88F0-606B9CF81C0D,NO APPARENT INJURY
NONE DETECTED,AE60F02B-844B-4266-B3DD-3DDAFC3FA376,NO APPARENT INJURY
NONE DETECTED,74B3ABD6-DF52-4B6A-8484-CBC67464148F,NO APPARENT INJURY
NONE DETECTED,5A0515C3-FD24-4FA8-BA64-7D536800D4A2,NO APPARENT INJURY
NONE DETECTED,F9C1A174-6882-45FB-86DA-B65E44B54F02,NO APPARENT INJURY
NONE DETECTED,1C351519-85B8-4521-8787-66AC3D192A1B,NO APPARENT INJURY
